001543777135700 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  1   2   1   0   3   1 ]
001543777135713 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  2   2   1   0   2   1 ]
001543777135815 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  3   2   1   0   1   1 ]
001543777135955 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  3   2   1   0   2   0 ]
001543777136014 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  2   2   1   0   2   1 ]
001543777136022 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  3   2   1   0   1   1 ]
001543777136142 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  2   3   1   0   1   1 ]
001543777136169 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 1 |   true | [  1   4   1   0   1   1 ]
001543777136190 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   4   1   0   1   2 ]
001543777136272 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   4   1   0   2   1 ]
001543777136294 |    13 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  0   4   1   0   2   1 ]
001543777136382 |    15 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |  false | [  0   4   1   0   2   1 ]
001543777136393 |    20 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   4   1   0   1   1 ]
001543777136402 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   4   1   0   1   2 ]
001543777136405 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |  false | [  0   4   1   0   1   2 ]
001543777136588 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |   true | [  0   4   1   0   2   1 ]
001543777136600 |    19 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   4   1   0   1   1 ]
001543777136600 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   4   1   0   1   2 ]
001543777136758 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |  false | [  0   4   1   0   1   2 ]
001543777136863 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |  false | [  0   4   1   0   1   2 ]
001543777136985 |    17 | jmml.monitor.rdp.RDP | ShotEvent | t: 6 |   true | [  1   4   1   0   0   2 ]
001543777136985 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |   true | [  1   3   0   1   0   2 ]
001543777136986 |    18 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   3   0   1   0   3 ]
001543777136999 |    21 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   3   0   1   0   3 ]
001543777137143 |    23 | jmml.monitor.rdp.RDP | ShotEvent | t: 4 |  false | [  0   3   0   1   0   3 ]
001543777137181 |    16 | jmml.monitor.rdp.RDP | ShotEvent | t: 5 |   true | [  1   3   1   0   0   3 ]
001543777137181 |    14 | jmml.monitor.rdp.RDP | ShotEvent | t: 3 |   true | [  1   2   0   1   0   3 ]
001543777137181 |    22 | jmml.monitor.rdp.RDP | ShotEvent | t: 2 |   true | [  0   2   0   1   0   4 ]
